date,epu,g_indpro,g_pce,g_emp
1992-06-01,122.2935049,0.059676827,0.177675585,0.063467535
1992-07-01,119.613173,0.889853908,0.32888373,0.07536834
1992-08-01,122.4071178,-0.55070301,0.133755406,0.112924845
1992-09-01,141.4432517,0.316074015,0.163212012,0.030287733
1992-10-01,161.2542436,0.680169051,0.351888815,0.164933339
1992-11-01,108.1500624,0.381185315,0.196257821,0.131772802
1992-12-01,87.87209519,0.145416581,0.173820817,0.203649248
1993-01-01,83.46497781,0.400460499,0.243931112,0.265952602
1993-02-01,106.9761211,0.467279644,0.149661062,0.227181855
1993-03-01,109.7968136,-0.087865335,0.204996047,-0.047276166
1993-04-01,89.65112959,0.290649866,0.264330047,0.274717802
1993-05-01,133.505769,-0.386820634,0.308646469,0.248711224
1993-06-01,120.6800583,0.223076485,0.034928905,0.163429676
1993-07-01,106.5029878,0.252611341,0.158384191,0.278227985
1993-08-01,115.57618,-0.108225441,0.171168296,0.133981962
1993-09-01,116.0272916,0.5181363,0.104332705,0.220716881
1993-10-01,78.82250779,0.731742123,0.313461511,0.248807425
1993-11-01,89.25749666,0.464958846,0.188875112,0.22859388
1993-12-01,77.27201262,0.574367265,0.023063396,0.29735673
1994-01-01,82.29279233,0.317497402,0.033142643,0.244231692
1994-02-01,96.14565341,0.051791135,0.231461514,0.160490872
1994-03-01,83.22688321,1.002323541,0.275268817,0.407099965
1994-04-01,106.3544523,0.580313537,0.117424676,0.305492706
1994-05-01,94.503876,0.467768685,0.144423949,0.294936053
1994-06-01,87.46889797,0.664942042,0.243923314,0.274867162
1994-07-01,75.43204599,0.120316635,0.314255244,0.322842409
1994-08-01,88.99729445,0.664928594,0.228414153,0.254136241
1994-09-01,85.29349647,0.297254966,0.111953518,0.30801534
1994-10-01,61.68622432,0.810787635,0.168354932,0.175823034
1994-11-01,94.68728009,0.664000443,0.190626809,0.358153825
1994-12-01,94.76318667,0.990423284,0.064912157,0.259954895
1995-01-01,122.4063772,0.189263737,0.201385759,0.283252077
1995-02-01,100.5155575,-0.120521868,0.177130486,0.161107874
1995-03-01,86.48618207,0.138450338,0.18382095,0.183906866
1995-04-01,65.99556422,-0.178184235,0.263110016,0.134967753
1995-05-01,67.30165512,0.478432096,0.153710716,-0.012815036
1995-06-01,75.82338534,0.332576,0.097720324,0.200366628
1995-07-01,81.65294273,-0.415839117,0.124090237,0.078379921
1995-08-01,55.88800948,1.290549876,0.215646173,0.222715256
1995-09-01,70.3809161,0.385493551,0.068125574,0.204445199
1995-10-01,79.90552416,-0.161697646,0.259315241,0.126240161
1995-11-01,101.2001239,0.240656345,-0.002773502,0.117629138
1995-12-01,90.67060647,0.34179741,0.191006104,0.1326854
1996-01-01,101.5782186,-0.524339203,0.22234498,-0.00591626
1996-02-01,82.02139499,1.429000162,0.157189344,0.350362996
1996-03-01,76.63045532,-0.161452227,0.301059896,0.21514413
1996-04-01,70.88105947,1.004761238,0.298789764,0.139313169
1996-05-01,62.10961057,0.732611994,0.17239728,0.278686741
1996-06-01,82.24293663,0.74743393,-0.001368251,0.234616348
1996-07-01,69.69367209,-0.003316732,0.211630098,0.204141149
1996-08-01,88.64742318,0.503453155,0.094120857,0.154740809
1996-09-01,78.98076227,0.621274452,0.281567529,0.166940748
1996-10-01,55.67024218,-0.014563241,0.302413887,0.216304915
1996-11-01,74.37119743,0.877570581,0.177336167,0.236463303
1996-12-01,67.17334642,0.619078207,0.114933204,0.161789591
1997-01-01,75.44551573,0.181516066,0.129638632,0.17962641
1997-02-01,92.08614082,1.161370284,0.210219922,0.256420793
1997-03-01,70.45269281,0.636033986,0.104999596,0.257400257
1997-04-01,71.10443874,0.083299153,0.09817238,0.2412417
1997-05-01,75.86949851,0.564820981,-0.047091115,0.217868479
1997-06-01,84.47804648,0.455736998,0.128997581,0.215769932
1997-07-01,76.70619866,0.838966203,0.059088956,0.240431477
1997-08-01,58.91502576,0.991804267,0.080510976,-0.01624801
1997-09-01,54.41430432,0.916404593,0.240950953,0.392467854
1997-10-01,92.92955831,0.879228956,0.129677411,0.280010329
1997-11-01,85.98280738,0.798733341,0.004010481,0.245514332
