date,g_usgdp,fed,g_ipx,g_tdi,exp3m,g_invpriv,g_pbi,g_icgg,g_ipc,int,g_tc
2002-06-01,1.325378753215984,1.75,5.913182027109386,9.142556957112307,56.85877774946599,-0.6212694699076011,6.633736271048655,7.94194610493781,0.07327522503492732,2.533333333333333,-2.980920979868563
2002-09-01,2.146516983061542,1.74,6.925259987717651,6.959632853874405,57.00690719445373,-2.667409209193553,4.071135981641429,14.78785725968186,0.2663362007514828,3.746789221325483,2.262243502763415
2002-12-01,1.992524822195467,1.443333333333333,11.10507862253418,6.454193090588425,65.79260096983977,6.614539334135181,4.63627898545434,9.870566178383243,1.444034230159834,4.113329503676471,3.652685392291736
2003-03-01,1.679257012471833,1.25,11.10487942549245,0.5984756329822245,65.9624659716569,8.915502870814947,5.643192619704737,17.57333067882763,2.827616805997063,3.79,0.6228361160943608
2003-06-01,1.95506515247238,1.246666666666667,4.120800418415299,-3.132779019664244,57.78478204828451,6.115857858494516,4.646750428893338,6.125627844693265,2.393374437631119,3.786666666666667,0.5172308815340075
2003-09-01,3.23113538751289,1.016666666666667,8.514244514825155,2.704474160933619,57.0987986263818,8.795529213855716,3.676659090665162,0.6890580241064852,1.948661461480786,3.083333333333333,-2.700853658708957
2003-12-01,4.300440651057468,0.9966666666666667,14.0799714523519,5.981506991917835,59.3044679871027,1.65699427204884,2.779450267361606,9.737914201694238,1.885406403890612,2.606666666666667,-2.662943772985843
2004-03-01,4.341952085996712,1.003333333333333,26.75481485175093,18.31139990779575,56.08816544645267,10.07524052103495,4.574384240528277,6.917618961287631,2.99300401092532,2.47,-0.3950690147355059
2004-06-01,4.227491217016895,1.01,31.84428228059682,19.91175857590898,56.76766972696313,8.780612799001322,3.737932135259238,12.58875709682597,3.406169440068905,2.476666666666667,0.09132530640582384
2004-09-01,3.494860356231756,1.433333333333333,24.43404462478524,9.296013869137589,60.46036903389383,3.600866511672582,4.284058227288543,7.367318451055556,4.409293166198334,2.613333333333333,-2.283118342995116
2004-12-01,3.351104943954788,1.95,23.68118234715933,5.548480932948149,63.11135745706846,10.2204715865832,7.276170088511059,3.695023804942562,3.8346207065367,2.983333333333333,-4.938798746622788
2005-03-01,3.908843257252434,2.47,13.43300610508924,-0.2225184153194011,62.74809707224247,4.2129944457736,5.626102725511437,12.19853491106097,2.194104783733813,2.936666666666667,-6.042796266949578
