date,unit,g_rgdp,g_cpi,sti,g_oil,g_gas
1960-06-30,de,1.6016401734413765,0.5693386668187639,5.87919956521739,0.0,0.0
1960-09-30,de,5.1936369708937224,0.0,6.597192876254179,0.0,0.0
1960-12-31,de,-0.23450615942599562,0.2834583797126644,6.569366789297658,0.0,0.0
1961-03-31,de,0.6251175351432714,0.9257461967902003,5.2293619583797835,-3.7504465667605125,3.2955847613321376
1961-06-30,de,-0.7032539152974415,0.7583353044521068,4.287880883898709,0.0,0.0
1961-09-30,de,3.8271640834987686,0.6341678011284824,4.158388528428093,0.0,0.0
1961-12-31,de,-0.7969270123707073,0.39432227750397786,4.919584180602007,0.0,0.0
1962-03-31,de,1.0809934811753408,1.5231694595499334,4.018695291713117,-3.2365284502031577,3.190432152557654
1962-06-30,de,0.874785886195717,0.5411686960726136,4.151067697085523,0.0,0.0
1962-09-30,de,4.162107176791308,-0.0771307404224153,4.305127658862876,0.0,0.0
1962-12-31,de,-1.4675450511697274,0.46189458562944097,5.431758093645485,0.0,0.0
1963-03-31,de,-3.942175602910547,2.2780028331820024,4.433473069490896,-1.3245226750020767,-1.6638351295601428
1963-06-30,de,4.224152760063049,0.18751177442446476,4.717221543239369,0.0,0.0
1963-09-30,de,5.2058413511403945,-0.5259215728484978,4.902301571906355,0.0,0.0
1963-12-31,de,-0.7686424042221418,1.309653891984519,6.0916493979933115,0.0,0.0
1964-03-31,de,0.9851018977843129,1.2927234501459939,4.428869894887722,-3.390155167568137,-4.178984876552505
1964-06-30,de,1.0515277458004846,0.0,4.718210554228381,0.0,0.0
1964-09-30,de,2.8292418508349293,0.07336757482439005,4.945888528428094,0.0,0.0
1964-12-31,de,0.09988946262033949,0.8762378078986277,6.480453745819399,0.0,0.0
1965-03-31,de,1.2420546277954525,1.0846093309390348,5.094139736157563,-2.090668481931368,6.576729277830506
1965-06-30,de,1.403001309023022,1.0017972870278502,5.724803960821787,0.0,0.0
1965-09-30,de,2.4591405717627524,0.8154627709366924,6.289910267558529,0.0,0.0
1965-12-31,de,-0.6548279935074675,0.9838449000287852,7.651432006688964,0.0,0.0
1966-03-31,de,1.4181960959454898,1.2163486193197404,6.483473069490897,-4.31721718652086,1.7135059114040452
1966-06-30,de,0.14435707949598253,0.962537510415018,7.510078686096513,0.0,0.0
1966-09-30,de,1.9180831584156177,-0.1712036028514774,7.9523015719063554,0.0,0.0
1966-12-31,de,-2.8252023431624806,0.887075076603594,8.781214615384616,0.0,0.0
1967-03-31,de,-0.8803110402173964,0.7782140442055052,6.480250847268673,-2.230575751429825,3.7343041580297776
1967-06-30,de,-0.4757674199642459,0.3364740724954185,5.1006281366459625,0.0,0.0
1967-09-30,de,4.181280803344123,-0.23541292190309981,4.555345050167224,0.0,0.0
1967-12-31,de,0.026329497689348003,0.23541292190309981,5.145562441471572,0.0,0.0
1968-03-31,de,-2.396888783462048,1.168822790400803,4.484144620162447,-0.7547205635382914,-0.5615232117318181
1968-06-30,de,4.537314804667236,0.06637902666564166,4.734584180602008,0.0,0.0
1968-09-30,de,3.6324972609178996,-0.16603025563957097,4.614801571906355,0.0,0.0
1968-12-31,de,2.073270724824239,0.695482187336971,5.618605919732442,0.0,0.0
1969-03-31,de,-2.6143692931039464,1.0179040441997689,5.054139736157563,-3.8614836127779633,2.9272942140502245
1969-06-30,de,4.3087581210421,0.4563241295205689,5.8104083564261835,0.0,0.0
1969-09-30,de,3.421923980313135,-0.09760859730554294,7.455453745819399,0.0,0.0
1969-12-31,de,1.689607017254069,0.5518598651018891,9.03773635451505,0.0,0.0
1970-03-31,de,-3.295521433681037,1.9237528182443064,10.592139736157561,-4.839654086185022,-0.5207199524420725
1970-06-30,de,3.8422805402273497,0.8852413168491502,10.945023741041567,0.0,0.0
1970-09-30,de,1.9759149980462354,0.1572574628216028,10.42469287625418,0.0,0.0
1970-12-31,de,0.8658062743114314,0.9383866168920285,9.884475484949833,0.0,0.0
1971-03-31,de,-1.9587133275304591,2.368977112240467,8.531473069490895,30.40758822274573,8.746516665597781
1971-06-30,de,1.9587133275304591,1.4788258032723434,7.491507257525083,0.0,0.0
1971-09-30,de,1.7094433359300165,0.8353270528970835,8.658062441471571,5.918887139033063,0.0
1971-12-31,de,0.0,0.8284071043420216,8.130997224080266,0.0,0.0
1972-03-31,de,0.0,2.04148238881543,6.012935828953654,1.7094433359300276,6.5834562113879835
1972-06-30,de,1.6807118316381597,1.062465127233958,5.767880883898709,0.0,0.0
1972-09-30,de,2.2658023892583756,1.389896151479597,5.9736059197324405,5.495888428075746,0.0
1972-12-31,de,1.616196795699798,1.5651521293801096,8.90219287625418,0.0,0.0
1973-03-31,de,1.3930573535946955,2.2485180913221825,9.269473069490894,10.642946284673126,17.98277643856252
