date,ip_growth,inflation,tbill_3m,fci
1973-01-01,1.49873203250625,0.700119545898347,0.450833333333333,-0.25
1973-02-01,1.49873203250625,0.700119545898347,0.466666666666666,0.38
1973-03-01,0.0480103747525273,0.925932541279683,0.5075,0.89
1973-04-01,-0.166339899198453,0.688866099518525,0.521666666666666,0.9
1973-05-01,0.637367059157911,0.456621797958112,0.53,0.82
1973-06-01,0.0651647553159495,0.681046900252679,0.599166666666666,0.76
1973-07-01,0.427204092277655,0.0,0.6675,1.14
1973-08-01,-0.180765735315358,1.79377006866672,0.7225,1.67
1973-09-01,0.906753873044552,0.443459706786608,0.690833333333333,1.95
1973-10-01,0.686374058241812,0.881062968215484,0.601666666666666,1.83
1973-11-01,0.496179178917,0.655740054615883,0.6525,1.65
1973-12-01,-0.243303016853957,0.86768440256888,0.620833333333333,1.68
1974-01-01,-0.724458127987892,1.0741241831413,0.6475,1.09
1974-02-01,-0.292451032292495,1.06270925742859,0.593333333333333,0.45
1974-03-01,0.0103727228379924,1.05153439995229,0.663333333333333,0.4
1974-04-01,-0.281769698962497,0.625653761430555,0.694166666666666,1.2
1974-05-01,0.726122882191981,1.03413537947325,0.685833333333333,2.54
1974-06-01,-0.0951781254499017,0.819676720417827,0.658333333333333,3.88
1974-07-01,-0.00263902145101191,0.610378293801794,0.629166666666666,4.55
1974-08-01,-0.96725867627101,1.20969217088284,0.746666666666666,4.16
1974-09-01,0.0725869049139404,1.39305735359469,0.671666666666666,3.68
1974-10-01,-0.37548939381895,0.787405643090588,0.621666666666666,3.07
1974-11-01,-3.35430165882919,0.975617494536473,0.6225,2.32
1974-12-01,-3.57213072323583,0.773698250215249,0.595833333333333,2.07
1975-01-01,-1.39731972384891,0.767758089903436,0.521666666666666,1.46
1975-02-01,-2.3386190562872,0.57197486727869,0.458333333333333,0.72
1975-03-01,-1.06571882768222,0.379507096855169,0.4575,0.26
1975-04-01,0.135400823330256,0.378072283990604,0.4675,-0.05
1975-05-01,-0.233374087725479,0.18850146957714,0.435833333333333,-0.35
1975-06-01,0.675090760113228,0.750472565406745,0.445,-0.56
1975-07-01,1.06848784472259,0.930239266231369,0.510833333333333,-0.59
1975-08-01,0.901301391430076,0.3696861881326,0.536666666666666,-0.58
1975-09-01,1.24905180280872,0.735297430525871,0.535,-0.41
1975-10-01,0.405703498180543,0.547946576462532,0.496666666666666,-0.23
1975-11-01,0.261174714518919,0.725956001280447,0.456666666666666,-0.22
1975-12-01,1.23235443344982,0.541029272824733,0.453333333333333,-0.4
1976-01-01,1.44823524845114,0.35906681307285,0.405833333333333,-0.71
1976-02-01,0.953120847542354,0.179051077378833,0.406666666666666,-0.88
1976-03-01,0.101113643719319,0.178731057409642,0.416666666666666,-0.91
1976-04-01,0.571283533028088,0.178412179350129,0.405,-0.87
1976-05-01,0.454140455946205,0.533334597536239,0.433333333333333,-0.73
1976-06-01,-0.00433936085850739,0.530505222969335,0.450833333333333,-0.68
1976-07-01,0.587523010440183,0.527705710084358,0.435833333333333,-0.81
1976-08-01,0.689678192555476,0.524935588614372,0.428333333333333,-0.9
1976-09-01,0.2933877330344,0.522194398115161,0.423333333333333,-0.92
1976-10-01,0.033944064554392,0.51948168771041,0.41,-0.88
1976-11-01,1.45411752826096,0.344827927891611,0.395833333333333,-0.8
1976-12-01,1.03419144123733,0.515022597631542,0.3625,-0.75
1977-01-01,-0.547166012448707,0.512383699986962,0.385,-0.85
